id,title,authors,publisher,published_date,categories,review_score,review_text,review_summary,review_helpfulness,review_time,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,helpfulness_ratio,authors_array,categories_array,author_count,category_count,is_helpful,has_multiple_authors,has_multiple_categories,is_recent_review
0553286323,The Parents Book About Divorce,"['elizabeth Thayer', 'jeffrey Zimmerman']",New Harbinger Publications,2003-11-01,['family & Relationships'],5.0,"I am a mother who is facing a possible second divorce. My two children from my first marriage of 15 years were 4 and 6 at the time of our separation. They are now 20 and 22 and I think will be fine; however, in reading his chapter on &quot;Telling the Children,&quot; I had the luxury to know/feel the validity of his message. I am finding jems throughout the book and, while I bought it at a time when I thought my second divorce was a case of &quot;when&quot; not &quot;if,&quot; it has helped my husband of 10 years and I look at our situation with new understanding and hope. We have a 9 year old and I am so glad that regardless of what happens with our marriage I feel much more equiped to do right by our son.",Recommended by my Dr. and I have bought 5+ for friends.,3/3,957398400,unknown_user,Anonymous,3,3,1.0,"[""['elizabeth Thayer'"", ""'jeffrey Zimmerman']""]","[""['family & Relationships']""]",2,1,1,1,0,0
0691032041,Persuasive Images: Posters of War and Revolution from the Hoover Institution Archives,"['hoover Institution On War, Revolution,, Peace', 'peter Paret', 'beth Irwin Lewis', 'paul Paret']",Unknown Publisher,1992,['history'],5.0,"Persuasive Images is a visually stunning book. No other book comes close in terms of quality or, for that matter, quantity.Viewed purely as an art book, it's a must-have. As a history book, it's jaw-droppingly intriguing. I have never found a book, website, or museum collection as appealing and thought-provoking as you will find in this book.I teach high school -- I have had students stay 3 hours after school just to pore over the pages of this book. It's that good.",One of a kind,9/9,949017600,A4WC4748AOKBR,Michael C Johnson,9,9,1.0,"[""['hoover Institution On War"", 'Revolution,', ""Peace'"", ""'peter Paret'"", ""'beth Irwin Lewis'"", ""'paul Paret']""]","[""['history']""]",6,1,1,1,0,0
0708918999,Home from the Hill,['shirley Jackson'],Penguin,2006-11-28,['fiction'],4.0,"""I'm amazed nobody has reviewed this book yet. I strongly recommend it as a well written account by a man's man who led very adventurous life. It's a classic in the tradition of """"Lives of a Bengal Lancer"""" ( though better written in my opinion)",An Officer and a Gentleman,4/4,1019865600,A2WNC4IW640W73,"""MR LIAM B KEELEY """"Liam Keeley""""""",4,4,1.0,"[""['shirley Jackson']""]","[""['fiction']""]",1,1,1,0,0,0
0721666981,"Fundamentals of Orthopaedics, 1e","['mukul Mohindra', 'jitesh Kumar Jain']",Jp Medical Ltd,2017-12-31,['medical'],5.0,"""This book should be mandatory for the senior medical student interested in orthopaedic surgery. Every resident should read this before starting their intern year!So many things helped me out during my senior externships, great chapters on basic science, biomechanics, materials, fracture care, and most importantly the relevent clinical anatomy is unsurpassed, including physical exam tips. Each chapter is a quick 10 or so pages, but contains all the essentials: worried about [pimping] by attendings, this book will ease your fears.I cannot say enough about this book: almost every orthopaedic surgeon that has seen me reading it has said """" WOW",Fantastic Entry Level Ortho Book,6/7,1044403200,A2XM1B4EWQ7RTH,Kara Scott,6,7,0.8571428571428571,"[""['mukul Mohindra'"", ""'jitesh Kumar Jain']""]","[""['medical']""]",2,1,1,1,0,0
0738126357,An IEEE Guide: How to Find What You Need in the Bluetooth Spec,Unknown Author,Unknown Publisher,Unknown Date,Unknown Category,3.0,"This book has a few error, several typographical errors and some inconsistencies. For a short book it contains repetitions many times, it seems more like a non-to-well edited summary. An example is that bandwidth and frequency deviation (see pg 39 second paragraph and pg 44 box). It contains many watered-down examples which have inaccurate terminology.",Marginal at best,2/3,1045526400,A1068AWZEOI8IX,D. Grassi,2,3,0.6666666666666666,['Unknown Author'],['Unknown Category'],1,1,1,0,0,0
0740726994,Burn This Book ... and Move On with Your Life,""""", Includes Supporting Text That Examines That Particular Issue.. Once The Reader Has Contemplated A Particular Problem",Then Casts It Away For Good By Carefully Putting It To Flame. Burn This Book Offers A Uniquely Active And Involved Reading Experience - One In Which Symbolic Destruction Through Fire Brings Mental Rejuvenation. It's An Ideal Way For Readers To Free Themselves From Restrictive Thinking By Taking Dramatic Action. From Cover To Cover,"Burn This Book . . . and Move On with Your Life is a refreshing way to resolve problems and make life better.""",Http://books.google.com/books/content?id=ixg30ofzmoec&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5.0,My wife is a psychotherapist and hands this book out to many of her clients. She finds it helpful for helping clients move on when they are stuck in old feelings.,Great Book!,2/2,1247961600,A19D5GY6OZ9WZW,"""Jamie Nettles """"information sponge""""""",2,2,1.0,"['""""', 'Includes Supporting Text That Examines That Particular Issue.. Once The Reader Has Contemplated A Particular Problem']",['Http://books.google.com/books/content?id=ixg30ofzmoec&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'],2,1,1,1,0,1
074348715X,Spider-Man: The Sinister Six Combo,['adam-troy Castro'],Ibooks,2004-05-01,['fiction'],5.0,"I remember growing up watching Spider Man in the '70s and '80s. It was my favorite show on TV because of the wise cracks, the super villians and the great hero himself. This book had all the fun characters I grew up with, Vulture, Dr. Oct, Cameleon, Mysterio and Electro and it just brought back all sorts of fun memories.This book (or series of books) is lot of fun. It has a ton of actions with enough detail in the fight scenes to actually see what is going on and more than enough plot and character development to tell an actual well written and detailed story. This book does have some cheesyness to it but you can't tell a spider man story and not be a little corny.The author does a terrific job with that as the cheesyness is actually well placed and enjoyable to read.If you want a fun entertaining book with a lot of action with a great story that is so well written that you can actually see the cartoon/movie played right before your eyes than look no further.Also, if you are older fart like me who grew up watching the old spider man shows on TV this will bring back a lot of great memories.I hope he writes another one someday.",What a fun and exciting book for Spider Man fans,2/2,1152576000,A2K7TFL2ITQWUU,"""K. Gray """"kennypop702""""""",2,2,1.0,"[""['adam-troy Castro']""]","[""['fiction']""]",1,1,1,0,0,0
0793149053,Beyond World Class,"['robert H. Hayes', 'gary P. Pisano', 'harvard University. Harvard Business Review']",Unknown Publisher,1994*,Unknown Category,4.0,"Let me say that I really enjoyed Beyond World Class. It is a great book. I would advise you that it is not a book for everyone though. Why do I say that? Beyond World Class challenges the reader to build a Beyond World Class organization and the path that Alan Ross suggests involves honesty, integrity and character (profit after that list). There are many useful concepts that can be gleaned from this book, but the cornerstone of this approach comes down to character.One interesting aspect of this book is the author's personal perspective on decisions that he made to protect and strengthen his integrity. The decisions were incredibly difficult and the future of the company hung in the balance. Each time the author followed through with integrity he was rewarded and in retrospect making the easy decision (not exercising integrity) would have been disastrous.Beyond World Class is about integrity in relationships with employees, suppliers (partners) distributors, and customers. This book goes further then many that talk about building relationships with customers. Beyond World Class shows that employees, suppliers, and distributors each have a significant hand in the ultimate satisfaction of customers. Beyond World Class highlights that beyond world class organization understand the value leading to the customer involves employees, suppliers, distributors and ultimately the customer themselves.Beyond World Class emphasis that customer selection is an essential piece of building a beyond world-class organization. Customer selection goes beyond targeting a customer segment to selecting customers that align with your company's vision, offering, and margin guidelines. In essence you partner with your customers. Part of this partnering is seeking to find solutions to customer problems and continually increase your value to your customer. These concepts in this section alone make the book worth the price!Beyond World Class challenges you to build the following character culture with the following characteristics:Humility Sponsoring champions Integrity and modeling Fairness and caringAre you up to the challenge of being Beyond World Class?",Do you want to be Beyond World Class,3/3,1014595200,A1STWK33TMM7IJ,Martin Schray,3,3,1.0,"[""['robert H. Hayes'"", ""'gary P. Pisano'"", ""'harvard University. Harvard Business Review']""]",['Unknown Category'],3,1,1,1,0,0
0802828051,The Uttermost Part of the Earth: A Guide to Places in the Bible,['richard R. Losch'],Wm. B. Eerdmans Publishing,2005,['religion'],3.0,"""Why do we need yet another reference work describing Bible geography? That is a good question, and if you think the answer is """"we don't""""","Pleasing prose, but I'd like to see some pictures",9/9,1142380800,AI9I4MEFTPOXU,wisdomofthepages.com,9,9,1.0,"[""['richard R. Losch']""]","[""['religion']""]",1,1,1,0,0,0
0810957574,Seeing Emily,['joyce Lee Wong'],Turtleback Books,2007-03-01,['juvenile Fiction'],5.0,"""""""Seeing Emily"""" is a real find","A finely written, affecting gem of a novel",3/3,1159747200,A1CHLGLRZXFOMJ,Duradarshinee,3,3,1.0,"[""['joyce Lee Wong']""]","[""['juvenile Fiction']""]",1,1,1,0,0,0
0824511360,"Scrolls & The New Testament, The (Christian Origins Library)","['john J. Collins', 'john Joseph Collins', 'robert A. Kugler']",Wm. B. Eerdmans Publishing,2000-07-17,['religion'],5.0,"As James Charlesworth says in his introduction, this book is a classic collection of essays regarding the 'hot topic' in scroll scholarship of how the scrolls relate to the New Testament. As most of the scroll scholars in the beginning were among the Christian academic ranks, the connections and interest was natural. While the connections to Judaism were very apparent in many ways, how the scrolls influenced, paralleled and related to early Christianity was another matter. It is still a topic of intense discussion and debate in and out of the academy.Krister Stendahl (who I had the honour to meet several years ago at an AAR conference) is an acknowledged expert in New Testament and Christian studies, having an international reputation as an author and scholar. Using this reputation, he drew together a strong collection of scholars to contribute to this volume - while much as been written in furtherance of the topic, this volume still remains a standard, and a foundational work for the field (Charlesworth uses the appropriate word 'pioneering' in his description).Stendahl penned the opening chapter, setting the framework for the further discussions in the essays, which include philosophical, historical, linguistic and other matters. Stendahl cautions against hasty judgements that link the texts of the scrolls to the New Testament writings, or linking the Qumran and Essene communities to the early Christian communities. However, as the scrolls illuminate early Judaism, and in particular Judaism around the advent of the Christian era, the background this provides for a better understanding of Pauline and Johannine texts is unmistakable.The list of contributing scholars is impressive, and at the risk of giving just a boring list, I offer this list of the writers included: Raymond Brown, W. H. Brownlee, Oscar Cullman, W. D. Davies, Joseph Fitzmeyer, Nahum Glatzer, Sherman Johnson, Karl Georg Kuhn, Bo Reicke, Kurt Schubert, Krister Stendahl, and Ernest Vogt. Those familiar with biblical studies, New Testament studies and scroll scholarship are likely to recognise many of the names in this impressive list. It is truly an international collection of scholars, ecumenical and inter-faith in scope.This collection examines many aspects - personalities (John the Baptist, Hillel, Paul, etc.), rituals and practices (Lord's supper/communal meals, early ecclesiology, etc.), beliefs and doctrines (the Sermon on the Mount, spirit vs. flesh issues in different texts, etc.), as well as community identities. Most important aspects of New Testament scholarship are addressed in some way in these essays.The book concludes with useful indexes of authors, passages, notes, and a selected bibliography of relevant texts for further reading, arranged topically.This is a great book for anyone interested in the scrolls and New Testament origins and connections.",A pioneering work,3/3,1130112000,A2VE83MZF98ITY,"""FrKurt Messick """"FrKurt Messick""""""",3,3,1.0,"[""['john J. Collins'"", ""'john Joseph Collins'"", ""'robert A. Kugler']""]","[""['religion']""]",3,1,1,1,0,0
0879233427,Badenheim 1939,['aharon Apelfeld'],David R. Godine Publisher,1980,['fiction'],3.0,"""... since it has so many elements that should speak directly to me as both reader, writer, and Jewish enthusiast.Maybe it is the satirical element of this short work that bothers me. There seems to be such a rich mine of material here that Appelfeld could work with, but the satire dumbs it up, telling us how to feel. He shys away from making direct statments about the characters or their setting. When you have two dimensional characters, there is little for the reader to do but accept them at face value or not.Perhaps it is the """"message"""" of the book (a term I hate",A work I want to like,2/4,1286409600,A11DCTGTPS7M0C,Eric Maroney,2,4,0.5,"[""['aharon Apelfeld']""]","[""['fiction']""]",1,1,0,0,0,1
0883449838,Becoming Children of God: John's Gospel and Radical Discipleship (Bible & Liberation),Ideological,['wes Howard-brook'],http://books.google.com/books/content?id=DWGvCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Wipf And Stock Publishers,5.0,"""The author clearly shows the tension in the early church between apostolic authority and discipleship witnessing. This struggle is strongly present in churches today. In the Catholic Church, first Pope John Paul and now Benedict XVI, popes, have called for a """"new evangelization"""". In our shrinking world with contact and discussion among so many different forms of religion",The distinctiveness of John's Gospel.,2/3,1301961600,AP5UIGVA9B1ON,David Jackson,2,3,0.6666666666666666,['Ideological'],['Wipf And Stock Publishers'],1,1,1,0,0,1
0908722303,Milestones: Turning points in New Zealand history,['tom Brooking'],Unknown Publisher,1988,['new Zealand'],5.0,"Milestones: Turning Points in New Zealand History by Tom Brooking.Milestones tells the story of New Zealand in a distinctive new way. The milestones are turning points that have shaped our past and made us what we are today. The volume covers the entire sweep of New Zealand history - from voyages of discovery, decisive battles and women's rights to landmarks in race and industrial relations. For ready reference and ease of use, each of the milestones is written as a complete episode. Where necessary the milestones are linked by a narrative that covers the years in between. A year-by-year list of key events concludes the book. Authoritative yet easy to read, every New Zealand family will find it an essential guide to their national heritage. Soft cover, 222 pages. Published in 1999.Pacific Island Books",Recommended New Zealand History,0/0,1096502400,A1XV5Q1CCAOZPA,"""Gary C. Gaines """"Engineers Bookstore""""""",0,0,0.0,"[""['tom Brooking']""]","[""['new Zealand']""]",1,1,0,0,0,0
0917013018,Ancient Prophecies About Mysticism Hollywood and the Music Industry,Unknown Author,Unknown Publisher,1998,['bible'],5.0,"As one who spent twenty years in the world of 'show business', this book is a revelation! Not that I didn't know at the time that things were amiss (and all the more as the Lord gradually worked on my soul, leading to my New Birth in 1977), but in &quot;Ancient Prophecies About Mysticism, Hollywood and the Music Industry&quot; author and researcher Wil Sutton blows the lid off Satan's use of 'entertainment' as a well-needed warning for us all in these last days. Think you know all you need to know about John Lennon and the Beatles, Elvis Presley, Michael Jackson and all the rest? Think again! And just where does spiritualism in it's many forms fit into all this? You'll learn about Islam, Mormonism, Buddhism, the modern occult movement and more in this fascinating study. Learn how the Devil merged all of these influences in the hippie counter-culture movement of the 1960's to virtually hypnotize the masses, preparing them for destruction in the Lake of Fire. Yes, it can be THAT serious! Don't waste any time: order this book NOW! As the third volume in Sutton's 5-volume series it is a well-researched corrective to today's 'amusement' mania. (&quot;a&quot;-&quot;muse&quot; means &quot;no thinking&quot; which is just what Satan wants! &quot;Turn off your mind, relax, and float downstream&quot; was not just an idyllic lyric from the pen of John Lennon, but can actually be considered an underworld anthem! To be forwarned is to be fore-armed). Now, move on to my review of volume four, &quot;The Real Truth About UFO's and the New World Order Connection&quot;. And may God Bless You!",The Pitfalls of 'Showbiz',24/30,958262400,A1VEM841XNIVFG,David G. Lee,24,30,0.8,['Unknown Author'],"[""['bible']""]",1,1,1,0,0,0
0935180184,Kauai: A Many Splendored Island,Unknown Author,Unknown Publisher,1989,['kauai (hawaii)'],5.0,"As a collector of all things Hawaiian...this book is one of my favorites. You could take this book and frame every picture on the wall. This book really takes you to Kauai, and if you have never been to Kauai then it will make you want to go to the beautiful laid back not quite yet touristy island. This book has 156 pages. This book does give a little history of Kauai but I think its real purpose was to capture the tranquility and beauty of Kauai....and that is exactly what it does. You will not be sorry for purchasing this book!",Kauai A Many Splendored Island,10/10,1073174400,A3YZHI27KJKR6,"""""""mauibeaches""""""",10,10,1.0,['Unknown Author'],"[""['kauai (hawaii)']""]",1,1,1,0,0,0
0962688886,The Art of Storytelling: How To Write A Story....Any Story,['john D. Walsh'],Moody Publishers,2013-12-18,['religion'],5.0,"Many books on writing try to cover so much material that they offer little practical advice. Michael Druxman keeps his work focused. This easy to read and understand guide to writing is one of the best books on writing I've ever seen. For the beginner, Druxman offers simple and direct advice on story structure. The intermediate or advanced writer will find practical business advice in the later chapters of the book. This is a great resource and a great value to boot.",An excellent reference for the new or intermediate writer.,12/14,887846400,unknown_user,Anonymous,12,14,0.8571428571428571,"[""['john D. Walsh']""]","[""['religion']""]",1,1,1,0,0,0
0970842619,Rosebudd the American Pimp book 2&3,['john Dickson Aka Rosebudd'],Unknown Publisher,2009-09-01,['biography & Autobiography'],5.0,"I highly recommend the Rosebudd series to any novice or experienced player in the game. He describes his travels as honest and true to life as any great writer of our time.We have been searching to capture real game in print for a long time and most black culture has admired the likes of Donald Goines and Robert Beck for sometime now, but we have a more vivid description of the Life in detail, so to not confuse the curious he has simplified the material to easy understand the mindstate of a Boss Playa.",Master Pimp,1/1,1065398400,A1DPQBXY8NCDWB,Daniel Taylor,1,1,1.0,"[""['john Dickson Aka Rosebudd']""]","[""['biography & Autobiography']""]",1,1,1,0,0,0
1558536582,A Treasury of Titanic Tales: Stories of Life and Death from a Night to Remember,['webb B. Garrison'],Unknown Publisher,1998,['history'],3.0,"This book is billed as a collection of human interest stories, and insights into the doomed ship. The book delivers on this promise, but narrowly, as it focuses primarily on the `important' people on board, i.e. the wealthy, first class passengers.There are chapters about Gracie, Butt, Astor, the Strauses, Widener, Guggenheim, Brown, Ismay, Morgan, and a few others from the first cabin.Prominent members of the crew also get some attention, like the wireless operators and the bridge officers, but the rest of the crew and passengers are pretty much ignored.The stories that are here are interesting and readable, but they suffer from a fair number of errors. What is surprising is that most of these errors are `amateur mistakes', and by that I mean errors that even people who have only moderate knowledge about the Titanic disaster should not have made.To site just one glaring example, the author states that Titanic was carrying slightly more than a full load of passengers (p49), when it is common knowledge that the ship was barely half full.Despite the errors, the book is a pleasant read. Readers who know their Titanic history well can gloss over the mistakes and enjoy the focus on the ship's wealthy passengers. Those less knowledgeable though, should not depend on this title as a source for the facts.",A readable book marred by more than a few errors.,10/10,961372800,A34VIUZHOU134B,M. Tennaro,10,10,1.0,"[""['webb B. Garrison']""]","[""['history']""]",1,1,1,0,0,0
1568582781,"Gangsters and Gold Diggers: Old New York, the Jazz Age, and the Birth of Broadway",['jerome Charyn'],Da Capo Press,2004,['history'],5.0,"Gangsters and Golddiggers is a fascinating book that introduces you to the unique characters that made up early broadway. From its early existence as an Indian trail to the rise of theater and organized crime, this book offers a glimpse into a world that vibrates with violence and lust. Gangsters and Golddiggers reads almost like an epic motion picture. Definately pick this one up.",Underrated book on Broadway's colorful past,8/8,1067558400,A3B9ACRH914PMA,B. M. Howard,8,8,1.0,"[""['jerome Charyn']""]","[""['history']""]",1,1,1,0,0,0
1579213154,Inspiration for Peace & Strength,['mahatma Gandhi'],"Blue Mountain Arts, Inc.",2007,['political Science'],5.0,"Although I am not suffering from an illness, this book has helped me deal with a very difficult time in my life. David's words of inspiration has touched me in more ways than I can describe here. Whether you are a person of religion or just someone in need of inspiring words, this is the book for you.",WOW!!,2/2,1051833600,A1RB3PAP0QT0L0,Kimberly S. Huff,2,2,1.0,"[""['mahatma Gandhi']""]","[""['political Science']""]",1,1,1,0,0,0
